Type,TypeEn,Message,Cost,Value,Icon,Choice1,Choice2
Symfwnia,Deal,Agora Aftokinhtou se timh efkairias,7000,10000,tesla.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora i-phone 13 apo Iapwnia,500,700,iphone.png,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Ethereum,3000,5000,ethereum.png,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Mhxanhs,4000,7000,honda.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Playstasion 5 apo Korea,200,400,ps5.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Taxyploou,5000,9000,taxyploo.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Eisithriou VIP gia ton teliko tou Champions League,700,1400,chl.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Eisithriou gia thn synavlia twn Iron Maiden,200,500,maiden.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Macbook apo to eBay,1000,1700,laptop.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Xrysoy Rologioy,2000,4000,watch.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Epaggelmatikhs Fwtografikhs Mhxanhs,1200,2000,camera.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Elaioladou,1500,3000,elaiolado.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Skylou Yorkshire Terrier,250,550,terrier.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Metoxwn sto Facebook,1000,2000,facebook.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Oikopedou sto Elafonhsi,12000,21000,elafonisi.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Syllektikhs Kitharas,3000,6000,guitar2.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Katasthmatos sto Talos Plaza,10000,18000,talos.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Eishthriou gia ton teliko tou NBA,900,1800,nba.jpg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Spanias Gatas,700,1200,spania.jpeg,Agorase,Agnohse th Symfwnia
Symfwnia,Deal,Agora Zaxaroplasteiou,5000,9500,zaxar.jpg,Agorase,Agnohse th Symfwnia
